Date,Well_ID,GL_Type,Choke_1_64in,THP_bar,THT_C,Pres_DS_Choke_bar,Temp_DS_Choke_C,CHP_bar,CHT_C,TAP_bar,BCP_bar,Bottom_Press_bar,Bottom_Temp_C,Water_pct,Emulsion_pct,Sand_pct,BSW_pct,H2S_ppm
2000-06-29 00:00:00,Well_278,Short String GL,20.0,25.5,,7.5,24.0,82.5,,35.9,7.9,,,26.0,0.0,0.01,26.01,0.0
2000-06-29 02:00:00,Well_278,Short String GL,20.0,21.5,,7.5,24.0,82.5,,35.9,7.9,,,28.0,0.0,0.01,28.01,0.0
2000-06-29 04:00:00,Well_278,Short String GL,20.0,16.0,,7.5,24.0,82.5,,35.9,7.9,,,22.0,0.0,0.01,22.01,0.0
2000-06-29 06:00:00,Well_278,Short String GL,20.0,29.0,,7.5,24.0,82.5,,35.9,7.9,,,30.0,0.0,0.01,30.01,0.0
2000-06-29 08:00:00,Well_278,Short String GL,20.0,21.5,,7.5,24.0,82.5,,35.9,7.9,,,25.0,0.0,0.03,25.03,0.0
2000-06-29 10:00:00,Well_278,Short String GL,20.0,22.0,,7.5,24.0,82.5,,35.9,7.9,,,29.0,0.0,0.05,29.05,0.0
2000-06-29 12:00:00,Well_278,Short String GL,20.0,20.0,,7.5,25.0,82.5,,35.9,7.9,,,26.0,0.0,0.02,26.02,0.0
2000-06-29 14:00:00,Well_278,Short String GL,20.0,22.5,,7.5,25.0,82.5,,35.9,7.9,,,30.0,0.0,0.03,30.03,0.0
2000-06-29 16:00:00,Well_278,Short String GL,20.0,15.5,,7.5,25.0,82.5,,35.9,7.9,,,24.0,0.0,0.02,24.02,0.0
2000-06-29 18:00:00,Well_278,Short String GL,20.0,26.0,,7.5,25.0,82.5,,35.9,7.9,,,28.0,0.0,0.03,28.03,0.0
2000-06-29 20:00:00,Well_278,Short String GL,20.0,22.5,,7.5,25.0,82.5,,35.9,7.9,,,30.0,0.0,0.03,30.03,0.0
2000-06-29 22:00:00,Well_278,Short String GL,20.0,24.0,,7.5,25.0,82.5,,35.9,7.9,,,26.0,0.0,0.02,26.02,0.0
2000-06-30 00:00:00,Well_278,Short String GL,20.0,20.0,,7.5,24.0,82.5,,35.9,7.9,,,28.0,0.0,0.02,28.02,0.0
2000-06-30 02:00:00,Well_278,Short String GL,20.0,21.0,,7.5,24.0,82.5,,35.9,7.9,,,25.0,0.0,0.01,25.01,0.0
2000-06-30 04:00:00,Well_278,Short String GL,20.0,20.0,,7.5,24.0,82.5,,35.9,7.9,,,24.0,0.0,0.01,24.01,0.0
2000-06-30 06:00:00,Well_278,Short String GL,20.0,20.0,,7.5,24.0,82.5,,35.9,7.9,,,30.0,0.0,0.02,30.02,0.0
2000-06-30 08:00:00,Well_278,Short String GL,20.0,16.0,,7.5,25.0,82.5,,35.9,7.9,,,28.0,0.0,0.02,28.02,0.0
2000-06-30 10:00:00,Well_278,Short String GL,20.0,20.5,,7.5,25.0,82.5,,35.9,7.9,,,23.0,0.0,0.01,23.01,0.0
2000-06-30 12:00:00,Well_278,Short String GL,20.0,21.0,,7.5,25.0,82.5,,35.9,7.9,,,26.0,0.0,0.01,26.01,0.0
